,mean_value,CellType,treatment,hallmark
0,41.184456,B,IFNb_Ctrl_2h,hallmark_ifna
1,41.081837,B,IFNb_Ctrl_2h,hallmark_ifna
2,41.118332,B,IFNb_Ctrl_2h,hallmark_ifna
3,40.549652,B,IFNb_Ctrl_2h,hallmark_ifna
4,41.23882,B,IFNb_Ctrl_2h,hallmark_ifna
5,41.085346,B,IFNb_Ctrl_2h,hallmark_ifna
6,41.386223,B,IFNb_Ctrl_2h,hallmark_ifna
7,41.840775,B,IFNb_Ctrl_2h,hallmark_ifna
8,41.468147,B,IFNb_Ctrl_2h,hallmark_ifna
9,40.56293,B,IFNb_Ctrl_2h,hallmark_ifna
10,41.038956,B,IFNb_Ctrl_2h,hallmark_ifna
11,40.200493,B,IFNb_Ctrl_2h,hallmark_ifna
12,40.582764,B,IFNb_Ctrl_2h,hallmark_ifna
13,41.363194,B,IFNb_Ctrl_2h,hallmark_ifna
14,41.006184,B,IFNb_Ctrl_2h,hallmark_ifna
15,40.212234,B,IFNb_Ctrl_2h,hallmark_ifna
16,41.767975,B,IFNb_Ctrl_2h,hallmark_ifna
17,41.15244,B,IFNb_Ctrl_2h,hallmark_ifna
18,40.693634,B,IFNb_Ctrl_2h,hallmark_ifna
19,40.51946,B,IFNb_Ctrl_2h,hallmark_ifna
20,41.645313,B,IFNb_Ctrl_2h,hallmark_ifna
21,40.351044,B,IFNb_Ctrl_2h,hallmark_ifna
22,41.370823,B,IFNb_Ctrl_2h,hallmark_ifna
23,41.539253,B,IFNb_Ctrl_2h,hallmark_ifna
24,41.64424,B,IFNb_Ctrl_2h,hallmark_ifna
25,40.865196,B,IFNb_Ctrl_2h,hallmark_ifna
26,40.66133,B,IFNb_Ctrl_2h,hallmark_ifna
27,40.945137,B,IFNb_Ctrl_2h,hallmark_ifna
28,41.154522,B,IFNb_Ctrl_2h,hallmark_ifna
29,41.31867,B,IFNb_Ctrl_2h,hallmark_ifna
30,41.209442,B,IFNb_Ctrl_2h,hallmark_ifna
31,40.554535,B,IFNb_Ctrl_2h,hallmark_ifna
32,41.14591,B,IFNb_Ctrl_2h,hallmark_ifna
33,41.623352,B,IFNb_Ctrl_2h,hallmark_ifna
34,41.596767,B,IFNb_Ctrl_2h,hallmark_ifna
35,41.096516,B,IFNb_Ctrl_2h,hallmark_ifna
36,40.709785,B,IFNb_Ctrl_2h,hallmark_ifna
37,41.1431,B,IFNb_Ctrl_2h,hallmark_ifna
38,41.229847,B,IFNb_Ctrl_2h,hallmark_ifna
39,40.54778,B,IFNb_Ctrl_2h,hallmark_ifna
40,40.890976,B,IFNb_Ctrl_2h,hallmark_ifna
41,40.55338,B,IFNb_Ctrl_2h,hallmark_ifna
42,41.51448,B,IFNb_Ctrl_2h,hallmark_ifna
43,40.460712,B,IFNb_Ctrl_2h,hallmark_ifna
44,40.82006,B,IFNb_Ctrl_2h,hallmark_ifna
45,40.857292,B,IFNb_Ctrl_2h,hallmark_ifna
46,40.83072,B,IFNb_Ctrl_2h,hallmark_ifna
47,40.570248,B,IFNb_Ctrl_2h,hallmark_ifna
48,40.751286,B,IFNb_Ctrl_2h,hallmark_ifna
49,40.91942,B,IFNb_Ctrl_2h,hallmark_ifna
50,40.497715,B,IFNb_Ctrl_2h,hallmark_ifna
51,41.652138,B,IFNb_Ctrl_2h,hallmark_ifna
52,41.397213,B,IFNb_Ctrl_2h,hallmark_ifna
53,40.1976,B,IFNb_Ctrl_2h,hallmark_ifna
54,41.136623,B,IFNb_Ctrl_2h,hallmark_ifna
55,40.141098,B,IFNb_Ctrl_2h,hallmark_ifna
56,40.73898,B,IFNb_Ctrl_2h,hallmark_ifna
57,40.822773,B,IFNb_Ctrl_2h,hallmark_ifna
58,41.416832,B,IFNb_Ctrl_2h,hallmark_ifna
59,41.304733,B,IFNb_Ctrl_2h,hallmark_ifna
60,41.702045,B,IFNb_Ctrl_2h,hallmark_ifna
61,41.274128,B,IFNb_Ctrl_2h,hallmark_ifna
62,41.470963,B,IFNb_Ctrl_2h,hallmark_ifna
63,40.345688,B,IFNb_Ctrl_2h,hallmark_ifna
64,40.9356,B,IFNb_Ctrl_2h,hallmark_ifna
65,41.25915,B,IFNb_Ctrl_2h,hallmark_ifna
66,41.439987,B,IFNb_Ctrl_2h,hallmark_ifna
67,40.96797,B,IFNb_Ctrl_2h,hallmark_ifna
68,41.649303,B,IFNb_Ctrl_2h,hallmark_ifna
69,41.02283,B,IFNb_Ctrl_2h,hallmark_ifna
70,41.97764,B,IFNb_Ctrl_2h,hallmark_ifna
71,42.068947,B,IFNb_Ctrl_2h,hallmark_ifna
72,41.422203,B,IFNb_Ctrl_2h,hallmark_ifna
73,41.665543,B,IFNb_Ctrl_2h,hallmark_ifna
74,40.60879,B,IFNb_Ctrl_2h,hallmark_ifna
75,40.825104,B,IFNb_Ctrl_2h,hallmark_ifna
76,40.288605,B,IFNb_Ctrl_2h,hallmark_ifna
77,40.705017,B,IFNb_Ctrl_2h,hallmark_ifna
78,40.372555,B,IFNb_Ctrl_2h,hallmark_ifna
79,40.56917,B,IFNb_Ctrl_2h,hallmark_ifna
80,41.481133,B,IFNb_Ctrl_2h,hallmark_ifna
81,40.924435,B,IFNb_Ctrl_2h,hallmark_ifna
82,41.64734,B,IFNb_Ctrl_2h,hallmark_ifna
83,40.905724,B,IFNb_Ctrl_2h,hallmark_ifna
84,40.363102,B,IFNb_Ctrl_2h,hallmark_ifna
85,40.781662,B,IFNb_Ctrl_2h,hallmark_ifna
86,40.82148,B,IFNb_Ctrl_2h,hallmark_ifna
87,40.74137,B,IFNb_Ctrl_2h,hallmark_ifna
88,41.243095,B,IFNb_Ctrl_2h,hallmark_ifna
89,41.742542,B,IFNb_Ctrl_2h,hallmark_ifna
90,40.761368,B,IFNb_Ctrl_2h,hallmark_ifna
91,40.532513,B,IFNb_Ctrl_2h,hallmark_ifna
92,41.271126,B,IFNb_Ctrl_2h,hallmark_ifna
93,41.074383,B,IFNb_Ctrl_2h,hallmark_ifna
94,41.181046,B,IFNb_Ctrl_2h,hallmark_ifna
95,40.394855,B,IFNb_Ctrl_2h,hallmark_ifna
96,41.064438,B,IFNb_Ctrl_2h,hallmark_ifna
97,41.092728,B,IFNb_Ctrl_2h,hallmark_ifna
98,41.274193,B,IFNb_Ctrl_2h,hallmark_ifna
99,41.32454,B,IFNb_Ctrl_2h,hallmark_ifna
100,35.797787,CD4T,IFNb_Ctrl_2h,hallmark_ifna
101,35.903713,CD4T,IFNb_Ctrl_2h,hallmark_ifna
102,35.963562,CD4T,IFNb_Ctrl_2h,hallmark_ifna
103,36.0191,CD4T,IFNb_Ctrl_2h,hallmark_ifna
104,36.085705,CD4T,IFNb_Ctrl_2h,hallmark_ifna
105,35.9035,CD4T,IFNb_Ctrl_2h,hallmark_ifna
106,35.988415,CD4T,IFNb_Ctrl_2h,hallmark_ifna
107,36.025814,CD4T,IFNb_Ctrl_2h,hallmark_ifna
108,36.127064,CD4T,IFNb_Ctrl_2h,hallmark_ifna
109,35.96687,CD4T,IFNb_Ctrl_2h,hallmark_ifna
110,36.461567,CD4T,IFNb_Ctrl_2h,hallmark_ifna
111,36.034306,CD4T,IFNb_Ctrl_2h,hallmark_ifna
112,35.91711,CD4T,IFNb_Ctrl_2h,hallmark_ifna
113,35.556736,CD4T,IFNb_Ctrl_2h,hallmark_ifna
114,35.60288,CD4T,IFNb_Ctrl_2h,hallmark_ifna
115,36.1433,CD4T,IFNb_Ctrl_2h,hallmark_ifna
116,36.065254,CD4T,IFNb_Ctrl_2h,hallmark_ifna
117,35.817043,CD4T,IFNb_Ctrl_2h,hallmark_ifna
