,mean_value,CellType,treatment,hallmark
0,8.8302765,B,IFNb_Ctrl_2h,hallmark_ifnb
1,8.674319,B,IFNb_Ctrl_2h,hallmark_ifnb
2,8.974282,B,IFNb_Ctrl_2h,hallmark_ifnb
3,8.879289,B,IFNb_Ctrl_2h,hallmark_ifnb
4,9.055022,B,IFNb_Ctrl_2h,hallmark_ifnb
5,8.713278,B,IFNb_Ctrl_2h,hallmark_ifnb
6,8.836367,B,IFNb_Ctrl_2h,hallmark_ifnb
7,8.642962,B,IFNb_Ctrl_2h,hallmark_ifnb
8,8.799987,B,IFNb_Ctrl_2h,hallmark_ifnb
9,9.11813,B,IFNb_Ctrl_2h,hallmark_ifnb
10,8.316637,B,IFNb_Ctrl_2h,hallmark_ifnb
11,8.684541,B,IFNb_Ctrl_2h,hallmark_ifnb
12,8.739486,B,IFNb_Ctrl_2h,hallmark_ifnb
13,8.900541,B,IFNb_Ctrl_2h,hallmark_ifnb
14,8.729818,B,IFNb_Ctrl_2h,hallmark_ifnb
15,8.901703,B,IFNb_Ctrl_2h,hallmark_ifnb
16,8.846565,B,IFNb_Ctrl_2h,hallmark_ifnb
17,9.0325365,B,IFNb_Ctrl_2h,hallmark_ifnb
18,8.60445,B,IFNb_Ctrl_2h,hallmark_ifnb
19,8.884016,B,IFNb_Ctrl_2h,hallmark_ifnb
20,9.190166,B,IFNb_Ctrl_2h,hallmark_ifnb
21,8.693887,B,IFNb_Ctrl_2h,hallmark_ifnb
22,8.915978,B,IFNb_Ctrl_2h,hallmark_ifnb
23,8.51534,B,IFNb_Ctrl_2h,hallmark_ifnb
24,9.063925,B,IFNb_Ctrl_2h,hallmark_ifnb
25,8.832585,B,IFNb_Ctrl_2h,hallmark_ifnb
26,8.54825,B,IFNb_Ctrl_2h,hallmark_ifnb
27,9.097656,B,IFNb_Ctrl_2h,hallmark_ifnb
28,8.901877,B,IFNb_Ctrl_2h,hallmark_ifnb
29,8.911283,B,IFNb_Ctrl_2h,hallmark_ifnb
30,8.778911,B,IFNb_Ctrl_2h,hallmark_ifnb
31,8.998213,B,IFNb_Ctrl_2h,hallmark_ifnb
32,8.956116,B,IFNb_Ctrl_2h,hallmark_ifnb
33,9.131123,B,IFNb_Ctrl_2h,hallmark_ifnb
34,8.99345,B,IFNb_Ctrl_2h,hallmark_ifnb
35,8.881349,B,IFNb_Ctrl_2h,hallmark_ifnb
36,8.662453,B,IFNb_Ctrl_2h,hallmark_ifnb
37,8.67184,B,IFNb_Ctrl_2h,hallmark_ifnb
38,8.665016,B,IFNb_Ctrl_2h,hallmark_ifnb
39,9.101511,B,IFNb_Ctrl_2h,hallmark_ifnb
40,8.919875,B,IFNb_Ctrl_2h,hallmark_ifnb
41,8.85408,B,IFNb_Ctrl_2h,hallmark_ifnb
42,8.770182,B,IFNb_Ctrl_2h,hallmark_ifnb
43,8.833619,B,IFNb_Ctrl_2h,hallmark_ifnb
44,8.893031,B,IFNb_Ctrl_2h,hallmark_ifnb
45,9.020805,B,IFNb_Ctrl_2h,hallmark_ifnb
46,8.727761,B,IFNb_Ctrl_2h,hallmark_ifnb
47,8.839409,B,IFNb_Ctrl_2h,hallmark_ifnb
48,8.877167,B,IFNb_Ctrl_2h,hallmark_ifnb
49,8.62105,B,IFNb_Ctrl_2h,hallmark_ifnb
50,8.710556,B,IFNb_Ctrl_2h,hallmark_ifnb
51,8.7597885,B,IFNb_Ctrl_2h,hallmark_ifnb
52,8.941471,B,IFNb_Ctrl_2h,hallmark_ifnb
53,8.720231,B,IFNb_Ctrl_2h,hallmark_ifnb
54,8.6290865,B,IFNb_Ctrl_2h,hallmark_ifnb
55,8.911579,B,IFNb_Ctrl_2h,hallmark_ifnb
56,9.180141,B,IFNb_Ctrl_2h,hallmark_ifnb
57,8.9253845,B,IFNb_Ctrl_2h,hallmark_ifnb
58,8.831986,B,IFNb_Ctrl_2h,hallmark_ifnb
59,8.848583,B,IFNb_Ctrl_2h,hallmark_ifnb
60,9.126096,B,IFNb_Ctrl_2h,hallmark_ifnb
61,8.620507,B,IFNb_Ctrl_2h,hallmark_ifnb
62,8.931876,B,IFNb_Ctrl_2h,hallmark_ifnb
63,8.658781,B,IFNb_Ctrl_2h,hallmark_ifnb
64,8.83025,B,IFNb_Ctrl_2h,hallmark_ifnb
65,8.78294,B,IFNb_Ctrl_2h,hallmark_ifnb
66,9.009406,B,IFNb_Ctrl_2h,hallmark_ifnb
67,9.062379,B,IFNb_Ctrl_2h,hallmark_ifnb
68,8.847718,B,IFNb_Ctrl_2h,hallmark_ifnb
69,8.815486,B,IFNb_Ctrl_2h,hallmark_ifnb
70,8.7746725,B,IFNb_Ctrl_2h,hallmark_ifnb
71,8.932669,B,IFNb_Ctrl_2h,hallmark_ifnb
72,9.183016,B,IFNb_Ctrl_2h,hallmark_ifnb
73,8.781616,B,IFNb_Ctrl_2h,hallmark_ifnb
74,8.765745,B,IFNb_Ctrl_2h,hallmark_ifnb
75,8.720788,B,IFNb_Ctrl_2h,hallmark_ifnb
