,mean_value,treatment,hallmark,CellType,pvalue,perc_found,pvalue_adj,log2FC
0,50.648182,RUX1000,IL1,B,0.24982950313472002,1.0,0.4000202601511939,0.0
1,96.98755,RUX1000,IL4,B,0.004163047621485016,1.0,0.01005762832447265,-0.16501267
2,47.093254,RUX1000,IL12,B,0.9264675324524796,0.9361702127659575,1.0,0.0
3,205.80037,RUX1000,IL18,B,0.9802925800978167,0.9816849816849816,1.0,0.0
4,31.20026,RUX1000,IL17,B,0.12990062030469754,0.96875,0.2195843302983432,0.0
5,10.2659645,RUX1000,IL23,B,0.04844850545047854,1.0,0.094813204214915,0.0
6,631.64484,RUX1000,hallmark_ifng,B,1.1151953932786738e-20,0.995,8.698524067573657e-20,-0.2493294
7,350.20215,RUX1000,hallmark_ifna,B,1.9935344089190897e-11,1.0,1.0466055646825221e-10,-0.22972114
8,78.81656,RUX1000,hallmark_ifnb,B,0.008188456472533719,0.9705882352941176,0.018785282495812648,-0.16855918
9,187.1552,RUX1000,hallmark_tnf,B,0.8664062007791548,0.995,1.0,0.0
10,98.38549,RUX1000,IL8_CXCR1/2,B,0.17556116931473373,0.6129032258064516,0.29135683418189856,0.0
11,25.987946,RUX1000,HLAs-Type I,B,0.9375209532572188,1.0,1.0,0.0
12,21.269968,RUX1000,hallmark_nfkb,B,0.22454084013809894,1.0,0.3659680558668717,0.0
13,48.015606,MOM1000,IL1,B,0.760248279278855,1.0,0.9498107119862089,0.0
14,98.597496,MOM1000,IL4,B,0.0015128961607355994,1.0,0.004049222077262928,-0.14126125
15,43.323086,MOM1000,IL12,B,0.04502594466583061,0.9361702127659575,0.08907306444762143,0.0
16,202.26935,MOM1000,IL18,B,0.46802171962916816,0.9816849816849816,0.6620203598899632,0.0
17,36.177307,MOM1000,IL17,B,0.47581735764424693,0.96875,0.6695780342107186,0.0
18,12.85077,MOM1000,IL23,B,0.83330767913007,1.0,1.0,0.0
19,650.709,MOM1000,hallmark_ifng,B,3.517576910918686e-26,0.995,3.1485196612485284e-25,-0.20643042
