,hallmark,genes
0,IL1,"['MAP2K6', 'RELA', 'MYD88', 'IL1A', 'TOLLIP', 'MAPKAPK2', 'MAPK1', 'IRAK2', 'MAP3K2', 'CHUK', 'PLCG1', 'NFKBIA', 'MAPK14', 'UBE2N', 'PTPN11', 'IKBKB', 'IRAK4', 'HSPB2', 'IL1RAP', 'MAP3K14', 'NFKBIB', 'UBE2V1', 'ATF2', 'NFKB1', 'PIK3R2', 'IL1B', 'TRAF6', 'PRKCZ', 'MAP3K1', 'REL', 'MAP3K3', 'IKBKG', 'MAP2K2', 'CCL2', 'JUN', 'MAP3K7', 'IL1R1', 'PELI1', 'MAP2K7', 'MAP2K1', 'MAP2K3', 'MAPK9', 'MAP2K4', 'TAB2', 'SQSTM1', 'MAPK8', 'IRAK1', 'AKT1', 'MAPK3', 'PIK3R1', 'TAB1', 'ECSIT', 'PELI2', 'IRAK3', 'TAB3']"
1,IL4,"['NFIL3', 'JAK3', 'GAB2', 'CBL', 'STAT3', 'BAD', 'RELA', 'CEBPB', 'HRH1', 'EP300', 'IRS1', 'MAPK1', 'INPP5D', 'STAT5A', 'CHUK', 'STAT1', 'MAPK11', 'NFKBIA', 'MAPK14', 'IL4', 'JAK2', 'CEBPA', 'PTPN11', 'IKBKB', 'IRS2', 'SOCS1', 'DOK2', 'ATF2', 'NFKB1', 'PIK3R2', 'SHC1', 'IL2RG', 'STAT5B', 'FOS', 'IL4R', 'PIK3CD', 'SOCS3', 'SOS1', 'SOCS5', 'PIK3CA', 'GATA3', 'BIRC5', 'PTPN6', 'STAT6', 'TYK2', 'AKT1', 'JAK1', 'FES', 'ELK1', 'FLNA', 'MAPK3', 'PIK3R1', 'RPS6KB1', 'GRB2']"
2,IL12,"['MSN', 'PSME2', 'MIF', 'HSPA9', 'CAPZA1', 'IL12RB2', 'IFNG', 'RALA', 'ARF1', 'ANXA2', 'IL12A', 'SNRPA1', 'HNRNPDL', 'LCP1', 'TALDO1', 'JAK2', 'P4HB', 'PDCD4', 'GSTA2', 'RAP1B', 'AIP', 'PITPNA', 'PAK2', 'HNRNPA2B1', 'SOD2', 'CDC42', 'PPIA', 'STAT4', 'IL12B', 'VAMP7', 'RPLP0', 'MTAP', 'SOD1', 'IL12RB1', 'SERPINB2', 'GSTO1', 'HNRNPF', 'LMNB1', 'BOLA2B', 'TYK2', 'CA1', 'JAK1', 'CFL1', 'BOLA2', 'CNN2', 'TCP1', 'IL10']"
3,IL18,"['TRAF1', 'MMP3', 'DEK', 'HCAR2', 'BAD', 'RELA', 'CEBPB', 'FUT1', 'TNFRSF1A', 'TNIP3', 'LARS2', 'COL1A2', 'BCL2L1', 'CCDC9', 'CCL5', 'IL18RAP', 'MMP2', 'ZBTB7A', 'ULBP2', 'MMP1', 'TRPC2', 'MMP9', 'RPTOR', 'STMN1', 'CASP8', 'LMNB2', 'TNFRSF11B', 'IL18BP', 'TOMM40', 'CRYGC', 'HSPB1', 'ARFGAP2', 'RGS16', 'IMP3', 'NCF1', 'ACTA1', 'NFKBIE', 'NR1H3', 'CXCL3', 'TMEM165', 'ZDHHC7', 'CCL2', 'CLDN15', 'JUN', 'MAP3K7', 'FAM110A', 'NFATC4', 'NR4A1', 'NRN1', 'PPT2', 'PLOD3', 'FOXN3', 'SYT10', 'CCL20', 'PLA2G7', 'ATF3', 'CCL3', 'EEF2', 'TIMP1', 'NOS2', 'TGM2', 'PTGS2', 'PWWP3A', 'IRF6', 'MYH7', 'FASLG', 'ZNF143', 'UGT2B10', 'ITGA2B', 'NPPB', 'RFX5', 'RND2', 'CFLAR', 'KLC1', 'TNF', 'AARS1', 'CYCS', 'MYD88', 'ARG1', 'ACACB', 'BPGM', 'PRKCB', 'SNTB1', 'BMP2', 'BSG', 'IFNG', 'MMP14', 'CHUK', 'NR0B2', 'ALS2', 'ENO1', 'MEPCE', 'RANGAP1', 'KITLG', 'PRKAA1', 'CCN4', 'ZNF444', 'NDUFC1', 'RPS11', 'NSMF', 'PTMS', 'ARFGAP1', 'TRAF6', 'RASA3', 'MEF2A', 'STK40', 'ABHD16A', 'GRIN2B', 'UGGT1', 'FAS', 'BIN1', 'GRM7', 'BID', 'LCK', 'APBA2', 'MMP13', 'EPB41', 'LRRFIP1', 'IL18', 'LTB', 'PARP1', 'DES', 'PRCC', 'MAP2K7', 'VEGFA', 'HADH', 'MBTPS1', 'PTPN7', 'TRPM7', 'MAPK9', 'TBX21', 'UCK1', 'ZNF219', 'SP1', 'SPON1', 'S1PR4', 'SPP1', 'TRPC4AP', 'IER3', 'PIK3R1', 'COL3A1', 'CA11', 'CSN2', 'KRT31', 'RAE1', 'TICAM2', 'CCNA2', 'NACA', 'TIMP3', 'GPAT4', 'IL18R1', 'NCF2', 'BIRC3', 'PPP1R13L', 'COX17', 'CCL18', 'MAPK1', 'PTEN', 'IL6', 'HSPB8', 'SDC4', 'IRF1', 'PLCG1', 'PRM1', 'TMSB4X', 'CLDN3', 'KLF2', 'NFKBIA', 'PLD1', 'ITM2C', 'TNFAIP3', 'CD36', 'ANP32A', 'GSK3B', 'CASP3', 'IL2RA', 'ELAVL1', 'NPPA', 'RUSC1', 'ECH1', 'ICAM1', 'NFKB1', 'ADIPOQ', 'PTX3', 'HPS1', 'IL12B', 'GATA1', 'FOS', 'CENPB', 'HMOX1', 'CNTN2', 'SOCS3', 'CXCL2', 'ZC3H12A', 'HOXD8', 'PKN1', 'CTNNB1', 'ARL4D', 'KIFC3', 'PHF20', 'CDK5R2', 'FADD', 'SLC12A3', 'GRN', 'IRAK1', 'MAPK3', 'IL9', 'TSHZ1', 'PYGB', 'IL13', 'FBXW7', 'CETP', 'TF', 'USP5', 'ABCF1', 'NFKBIZ', 'ACTA2', 'BAX', 'IL37', 'RUNX2', 'BAZ1B', 'TACR1', 'NOX1', 'ARF6', 'ACADS', 'BCL2', 'CLDN4', 'CCL19', 'B2M', 'FN1', 'LONP2', 'CCNB2', 'IKBKB', 'SEMA6D', 'RXRB', 'FAM186B', 'HDGF', 'ADAMTS5', 'COL1A1', 'CLDN12', 'HDAC3', 'IL1B', 'KCNH2', 'CCL4', 'CLDN1', 'SLC4A7', 'MMP8', 'PTPRZ1', 'REL', 'MYH6', 'CD83', 'NFKB2', 'STOML1', 'IL17RC', 'CCL1', 'PRKCA', 'PIGT', 'SEMA6C', 'TNFAIP2', 'BTG2', 'CPT1A', 'CXCL16', 'CXCL8', 'PRKCD', 'MTCH1', 'NCAPH2', 'CD81', 'RPS6KB1', 'TP53', 'EPS8', 'TNFSF11', 'ACOD1', 'IL10']"
4,IL17,"['STAT3', 'RELA', 'CEBPB', 'MAPK1', 'IL17B', 'CEBPD', 'IL17RA', 'JAK2', 'IKBKB', 'GSK3B', 'IL17F', 'MAP3K14', 'NFKBIB', 'NFKB1', 'TRAF6', 'IL17RD', 'IL17C', 'IL25', 'TRAF3IP2', 'IKBKG', 'IL17RC', 'MAP3K7', 'IL17D', 'PIK3CA', 'SP1', 'AKT1', 'JAK1', 'MAPK3', 'TRAF3', 'IL17RE', 'IL17A', 'IL17RB']"
5,IL23,"['STAT3', 'STAT4', 'IL12B', 'JAK2', 'P4HB', 'IL23R', 'TYK2', 'IL12RB1', 'IL23A']"
6,hallmark_ifng,"['CIITA', 'CXCL9', 'OGFR', 'PSMB2', 'APOL6', 'RNF31', 'HLA-B', 'STAT3', 'PSMA2', 'EIF2AK2', 'FPR1', 'IFI44', 'UBE2L6', 'CDKN1A', 'CCL5', 'DHX58', 'TXNIP', 'GCH1', 'CASP8', 'LYSMD2', 'CD69', 'MX1', 'IL18BP', 'IRF9', 'STAT2', 'CFH', 'IL10RA', 'TNFSF10', 'IFI27', 'CCL2', 'PIM1', 'HLA-DMA', 'IFITM2', 'KLRK1', 'IFITM3', 'TAP1', 'IRF4', 'NMI', 'MARCHF1', 'PTGS2', 'IL2RB', 'OAS2', 'CD40', 'PNPT1', 'TDRD7', 'IRF5', 'NAMPT', 'WARS1', 'RSAD2', 'HLA-A', 'MYD88', 'ARID5B', 'TRAFD1', 'TRIM21', 'CMKLR1', 'BPGM', 'SSPN', 'NCOA3', 'ISOC1', 'OAS3', 'C1R', 'ISG15', 'C1S', 'PDE4B', 'PML', 'PSMB8', 'SLC25A28', 'CASP1', 'PTPN1', 'RAPGEF6', 'JAK2', 'CXCL11', 'HLA-DRB1', 'MX2', 'CFB', 'IL15RA', 'HIF1A', 'ZBP1', 'ST3GAL5', 'FAS', 'CXCL10', 'IRF2', 'IL4R', 'GBP4', 'CD274', 'NLRC5', 'TAPBP', 'LATS2', 'PARP12', 'ZNFX1', 'SPPL2A', 'SLAMF7', 'BST2', 'PFKP', 'PTPN6', 'VAMP5', 'RIPK2', 'HERC6', 'LAP3', 'TMT1B', 'SOD2', 'FGL2', 'PSMB9', 'HLA-DQA1', 'CD86', 'HELZ2', 'IFIT2', 'RBCK1', 'SRI', 'TNFAIP6', 'TOR1B', 'IFIT1', 'IFI44L', 'CD38', 'LGALS3BP', 'IFNAR2', 'SELP', 'TRIM14', 'IL6', 'IRF1', 'XCL1', 'STAT1', 'NFKBIA', 'IL7', 'CASP7', 'SECTM1', 'IRF8', 'NUP93', 'RNF213', 'TNFAIP3', 'CASP3', 'BATF2', 'SOCS1', 'ST8SIA4', 'ICAM1', 'IFI30', 'NFKB1', 'RTP4', 'P2RY14', 'STAT4', 'PELI1', 'SOCS3', 'GPR18', 'DDX60', 'HLA-G', 'LY6E', 'VCAM1', 'ITGB7', 'PTPN2', 'LCP2', 'VAMP8', 'CMTR1', 'RIGI', 'EIF4E3', 'MTHFD2', 'AUTS2', 'EPSTI1', 'IDO1', 'PSMA3', 'PSME2', 'SERPING1', 'PSMB10', 'TRIM26', 'IFI35', 'ISG20', 'BTG1', 'CMPK2', 'B2M', 'CCL7', 'SAMHD1', 'SP110', 'TRIM25', 'SAMD9L', 'XAF1', 'PLSCR1', 'CASP4', 'BANK1', 'GBP6', 'PSME1', 'USP18', 'ADAR', 'MT2A', 'PARP14', 'GZMA', 'TNFAIP2', 'ARL4A', 'IRF7', 'CSF2RB', 'CD74', 'OASL', 'MVP', 'IFIT3', 'UPP1', 'IL15', 'NOD1', 'IFIH1', 'PNP', 'PLA2G4A', 'FCGR1A', 'RIPK1']"
7,hallmark_ifna,"['OGFR', 'PROCR', 'RNF31', 'EIF2AK2', 'IFI44', 'UBE2L6', 'CCRL2', 'DHX58', 'TXNIP', 'CASP8', 'MX1', 'IRF9', 'STAT2', 'IFI27', 'IFITM2', 'IFITM3', 'TAP1', 'NMI', 'SELL', 'PARP9', 'PNPT1', 'TENT5A', 'TDRD7', 'ELF1', 'NCOA7', 'WARS1', 'RSAD2', 'TRAFD1', 'TRIM21', 'ISG15', 'SLC25A28', 'C1S', 'PSMB8', 'CASP1', 'CXCL11', 'LAMP3', 'CXCL10', 'IRF2', 'IL4R', 'GBP4', 'PARP12', 'BST2', 'RIPK2', 'HERC6', 'LAP3', 'PSMB9', 'IFIT2', 'HELZ2', 'CSF1', 'IFI44L', 'LGALS3BP', 'TRIM14', 'IRF1', 'MVB12A', 'IL7', 'LPAR6', 'BATF2', 'IFI30', 'RTP4', 'LY6E', 'DDX60', 'CNP', 'TRIM5', 'CMTR1', 'TMEM140', 'MOV10', 'EPSTI1', 'PSMA3', 'GMPR', 'UBA7', 'PSME2', 'CD47', 'TRIM26', 'IFI35', 'ISG20', 'OAS1', 'HLA-C', 'NUB1', 'CMPK2', 'B2M', 'SP110', 'TRIM25', 'SAMD9L', 'GBP2', 'PLSCR1', 'IFITM1', 'PSME1', 'USP18', 'ADAR', 'PARP14', 'IRF7', 'CD74', 'OASL', 'IFIT3', 'IL15', 'IFIH1', 'SAMD9']"
8,hallmark_ifnb,"['PNPT1', 'IRGM', 'IKBKE', 'OAS1', 'IFNAR2', 'TREX1', 'UBE2G2', 'IRF1', 'STAT1', 'TRIM6', 'CAPN2', 'IFI16', 'PYHIN1', 'AIM2', 'MNDA', 'CAMK2A', 'CALM1', 'SHFL', 'XAF1', 'PLSCR1', 'HTRA2', 'NDUFA13', 'IFITM1', 'PYDC5', 'TLR3', 'IFNB1', 'BST2', 'IFITM2', 'IFITM3', 'IFNAR1', 'CDC34', 'UBE2K', 'ACOD1', 'STING1']"
9,hallmark_tnf,"['TRAF1', 'MYC', 'TSC22D1', 'ZBTB10', 'RELA', 'CEBPB', 'SNN', 'SIK1', 'IFIH1', 'BHLHE40', 'LAMB3', 'CDKN1A', 'CCRL2', 'CCL5', 'GCH1', 'SAT1', 'GPR183', 'LDLR', 'CD69', 'F3', 'PDLIM5', 'PHLDA1', 'GFPT2', 'SERPINB8', 'JUNB', 'NFKBIE', 'CXCL3', 'GADD45A', 'DENND5A', 'CCL2', 'JUN', 'ABCA1', 'NINJ1', 'NR4A1', 'TIPARP', 'TRIP10', 'CCNL1', 'CCL20', 'ATF3', 'TAP1', 'CLCF1', 'F2RL1', 'SMAD3', 'PTGS2', 'CEBPD', 'LITAF', 'NFIL3', 'NAMPT', 'CFLAR', 'TNF', 'CD44', 'KLF4', 'PLEK', 'YRDC', 'FOSL2', 'ATP2B1', 'TANK', 'BMP2', 'AREG', 'PDE4B', 'SGK1', 'KLF6', 'STAT5A', 'CCND1', 'EIF1', 'PTPRE', 'MXD1', 'RELB', 'NFE2L2', 'MCL1', 'CXCL11', 'SPSB1', 'TNIP1', 'IL15RA', 'PANX1', 'TUBB2A', 'EHD1', 'EDN1', 'CXCL10', 'NFAT5', 'EGR1', 'SERPINB2', 'IL18', 'PLPP3', 'VEGFA', 'TNFAIP8', 'RHOB', 'MAP2K3', 'MARCKS', 'PER1', 'GEM', 'PNRC1', 'DUSP4', 'SQSTM1', 'RIPK2', 'IER3', 'PMEPA1', 'CCN1', 'SOD2', 'FOSB', 'IFIT2', 'TNFAIP6', 'CSF1', 'EGR3', 'BIRC3', 'IL1A', 'OLR1', 'SERPINE1', 'MAFF', 'IL6', 'IL23A', 'SDC4', 'DUSP2', 'SLC2A3', 'IRF1', 'ZFP36', 'FUT4', 'KLF2', 'NFKBIA', 'TNFAIP3', 'DUSP1', 'GADD45B', 'TNC', 'PLAUR', 'PPP1R15A', 'TNFRSF9', 'IL6ST', 'JAG1', 'DUSP5', 'ICAM1', 'NFKB1', 'PTX3', 'IL12B', 'CXCL1', 'MSC', 'MAP3K8', 'EFNA1', 'FOS', 'SOCS3', 'HBEGF', 'CXCL2', 'EGR2', 'CD80', 'ICOSLG', 'TGIF1', 'TNFSF9', 'ETS2', 'TLR2', 'KLF10', 'ZC3H12A', 'ID2', 'BCL6', 'TRIB1', 'BTG3', 'RIGI', 'DNAJB4', 'NR4A3', 'TNIP2', 'BIRC2', 'FJX1', 'FOSL1', 'PLAU', 'BTG1', 'HES1', 'INHBA', 'LIF', 'BCL3', 'CXCL6', 'KLF9', 'KDM6B', 'IL7R', 'BCL2A1', 'G0S2', 'RNF19B', 'SLC2A6', 'SPHK1', 'IER2', 'IRS2', 'IL1B', 'PFKFB3', 'CCL4', 'RCAN1', 'CSF2', 'REL', 'B4GALT5', 'CD83', 'IFNGR2', 'NFKB2', 'ACKR3', 'PTGER4', 'BTG2', 'B4GALT1', 'KYNU', 'TNFAIP2', 'PHLDA2', 'DRAM1', 'SLC16A6', 'IER5', 'NR4A2', 'PLK2']"
