,hallmark,CellType,Condition1,Condition2,Statistic,p-value,mean1,mean2,p_adj
0,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-8.618520620426624,6.782466748365035e-18,35.18953,41.064995,2.8486360343133147e-15
1,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_DEU1000_2h,15.14964050308381,7.618217259234772e-52,35.18953,22.680157,3.199651248878604e-49
2,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_RUX1000_2h,0.3338693907294785,0.7384781183879481,35.18953,35.020214,1.0
3,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_BAR1000_2h,6.237418164056165,4.448516900921227e-10,35.18953,30.709352,1.8683770983869152e-07
4,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_BMS1000_2h,2.843486784352151,0.004462285992097456,35.18953,32.00829,1.0
5,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_ABR1000_2h,0.26519402217614646,0.7908599997078924,35.18953,35.605747,1.0
6,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_DEU1000_2h,20.38730986132134,2.167406428012775e-92,41.064995,22.680157,9.103106997653656e-90
7,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_RUX1000_2h,6.666414814857148,2.621277160029215e-11,41.064995,35.020214,1.1009364072122703e-08
8,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_BAR1000_2h,13.901014134548836,6.245019706728678e-44,41.064995,30.709352,2.622908276826045e-41
9,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_BMS1000_2h,7.311989593544035,2.632155010598303e-13,41.064995,32.00829,1.1055051044512873e-10
10,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_ABR1000_2h,7.17478946797217,7.241854125836393e-13,41.064995,35.605747,3.041578732851285e-10
11,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-12.043007535681047,2.1111594978468407e-33,22.680157,35.020214,8.86686989095673e-31
12,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_BAR1000_2h,-10.498754758564582,8.752709751826465e-26,22.680157,30.709352,3.6761380957671155e-23
13,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-7.6672819591213175,1.7567930978258995e-14,22.680157,32.00829,7.378531010868778e-12
14,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-13.449254000245144,3.10993924258902e-41,22.680157,35.605747,1.3061744818873885e-38
